area,year,Daily_Avg
Bradford - BID,2019,90003.2
Bradford - BID,2020,60708.9
Bradford - BID,2021,67034.3
Bradford - BID,2022,79339.1
Bradford - BID,2023,87134.7
Bradford - BID,2024,96479.8
Bradford - BID,2025,105863.8
Bradford - Local Authority,2019,670551.4
Bradford - Local Authority,2020,589878.9
Bradford - Local Authority,2021,598948.3
Bradford - Local Authority,2022,653673.5
Bradford - Local Authority,2023,750339.4
Bradford - Local Authority,2024,617262.8
Bradford - Local Authority,2025,891225.5
Bradford - City Centre,2019,91678.9
Bradford - City Centre,2020,46016.1
Bradford - City Centre,2021,70475.8
Bradford - City Centre,2022,77607.8
Bradford - City Centre,2023,86937.4
Bradford - City Centre,2024,87245.1
Bradford - City Centre,2025,98262.6
Bradford - Lister Park,2019,20600.6
Bradford - Lister Park,2020,14645.6
Bradford - Lister Park,2021,14992.3
Bradford - Lister Park,2022,17735.8
Bradford - Lister Park,2023,24815.7
Bradford - Lister Park,2024,30792.6
Bradford - Lister Park,2025,29988.4
Bradford - Roberts Park,2019,11662.2
Bradford - Roberts Park,2020,8175.2
Bradford - Roberts Park,2021,6651.7
Bradford - Roberts Park,2022,8232.8
Bradford - Roberts Park,2023,10744.1
Bradford - Roberts Park,2024,8203.8
Bradford - Roberts Park,2025,8886.2
