area,year,Total_Annual_Footfall
Bradford - BID,2019,32851161.2
Bradford - BID,2020,22219440.9
Bradford - BID,2021,24467514.8
Bradford - BID,2022,28958788.7
Bradford - BID,2023,31804165.6
Bradford - BID,2024,35311600.4
Bradford - BID,2025,38640298.6
Bradford - Local Authority,2019,244751261.0
Bradford - Local Authority,2020,215895680.0
Bradford - Local Authority,2021,218616139.0
Bradford - Local Authority,2022,238590845.0
Bradford - Local Authority,2023,273873865.0
Bradford - Local Authority,2024,225918203.0
Bradford - City Centre,2019,32912732.5
Bradford - City Centre,2020,16841885.2
Bradford - City Centre,2021,25723676.3
Bradford - City Centre,2022,28326861.6
Bradford - City Centre,2023,31732143.3
Bradford - City Centre,2024,31844465.1
Bradford - City Centre,2025,35865856.5
Bradford - Lister Park,2019,7395624.4
Bradford - Lister Park,2020,5360289.9
Bradford - Lister Park,2021,5472199.7
Bradford - Lister Park,2022,6473562.4
Bradford - Lister Park,2023,9057748.6
Bradford - Lister Park,2024,11239292.3
Bradford - Lister Park,2025,10945755.9
Bradford - Roberts Park,2019,4175078.1
Bradford - Roberts Park,2020,2992139.6
Bradford - Roberts Park,2021,2427854.4
Bradford - Roberts Park,2022,2823857.7
Bradford - Roberts Park,2023,3867869.4
Bradford - Roberts Park,2024,2592414.4
Bradford - Roberts Park,2025,2879112.9
