,area,year,footfall_missing_days
0,BD Walls : Come on in my friend,2019,34
1,BD Walls : Come on in my friend,2020,7
2,BD Walls : Come on in my friend,2021,0
3,BD Walls : Come on in my friend,2022,0
4,BD Walls : Come on in my friend,2023,1
5,BD Walls : Come on in my friend,2024,0
6,BD Walls : Come on in my friend,2025,5
7,BD Walls : Roots,2019,91
8,BD Walls : Roots,2020,17
9,BD Walls : Roots,2021,2
10,BD Walls : Roots,2022,53
11,BD Walls : Roots,2023,52
12,BD Walls : Roots,2024,99
13,BD Walls : Roots,2025,45
14,BD Walls : Serving the district,2019,12
15,BD Walls : Serving the district,2020,0
16,BD Walls : Serving the district,2021,0
17,BD Walls : Serving the district,2022,2
18,BD Walls : Serving the district,2023,0
19,BD Walls : Serving the district,2024,1
20,BD Walls : Serving the district,2025,2
21,BD Walls : The Portal,2019,14
22,BD Walls : The Portal,2020,5
23,BD Walls : The Portal,2021,0
24,BD Walls : The Portal,2022,13
25,BD Walls : The Portal,2023,3
26,BD Walls : The Portal,2024,15
27,BD Walls : The Portal,2025,38
28,BD Walls : Wayfinders,2019,0
29,BD Walls : Wayfinders,2020,0
30,BD Walls : Wayfinders,2021,0
31,BD Walls : Wayfinders,2022,0
32,BD Walls : Wayfinders,2023,0
33,BD Walls : Wayfinders,2024,0
34,BD Walls : Wayfinders,2025,0
35,BD Walls: RAVO,2019,139
36,BD Walls: RAVO,2020,6
37,BD Walls: RAVO,2021,2
38,BD Walls: RAVO,2022,148
39,BD Walls: RAVO,2023,118
40,BD Walls: RAVO,2024,245
41,BD Walls: RAVO,2025,234
42,"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",2019,130
43,"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",2020,147
44,"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",2021,80
45,"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",2022,177
46,"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",2023,202
47,"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",2024,334
48,"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",2025,178
49,Bradford - BID,2019,0
50,Bradford - BID,2020,0
51,Bradford - BID,2021,0
52,Bradford - BID,2022,0
53,Bradford - BID,2023,0
54,Bradford - BID,2024,0
55,Bradford - BID,2025,0
56,Bradford - City Centre,2019,6
57,Bradford - City Centre,2020,0
58,Bradford - City Centre,2021,0
59,Bradford - City Centre,2022,0
60,Bradford - City Centre,2023,0
61,Bradford - City Centre,2024,1
62,Bradford - City Centre,2025,0
63,Bradford - Lister Park,2019,6
64,Bradford - Lister Park,2020,0
65,Bradford - Lister Park,2021,0
66,Bradford - Lister Park,2022,0
67,Bradford - Lister Park,2023,0
68,Bradford - Lister Park,2024,1
69,Bradford - Lister Park,2025,0
70,Bradford - Local Authority,2019,0
71,Bradford - Local Authority,2020,0
72,Bradford - Local Authority,2021,0
73,Bradford - Local Authority,2022,0
74,Bradford - Local Authority,2023,0
75,Bradford - Local Authority,2024,0
76,Bradford - Local Authority,2025,251
77,Bradford - Penistone Hill,2019,150
78,Bradford - Penistone Hill,2020,24
79,Bradford - Penistone Hill,2021,9
80,Bradford - Penistone Hill,2022,127
81,Bradford - Penistone Hill,2023,137
82,Bradford - Penistone Hill,2024,165
83,Bradford - Penistone Hill,2025,171
84,Bradford - Roberts Park,2019,7
85,Bradford - Roberts Park,2020,0
86,Bradford - Roberts Park,2021,0
87,Bradford - Roberts Park,2022,22
88,Bradford - Roberts Park,2023,5
89,Bradford - Roberts Park,2024,50
90,Bradford - Roberts Park,2025,41
91,Darley Street Market,2019,6
92,Darley Street Market,2020,11
93,Darley Street Market,2021,0
94,Darley Street Market,2022,2
95,Darley Street Market,2023,0
96,Darley Street Market,2024,9
97,Darley Street Market,2025,12
